UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
PE,CACHOEIRINHA,7048,2405,0,236,17,535,84,0,35,85,2672,775,17,0,120,39,0,0,0,0,1,27
PE,CAETES,5542,2347,0,336,8,452,49,0,6,85,2038,99,54,0,34,16,0,0,0,0,1,17
PE,CALCADO,3024,970,0,98,0,200,21,0,0,18,1423,249,29,0,5,10,0,0,0,0,0,1
PE,CALUMBI,1811,502,0,55,5,121,13,0,1,10,1023,49,10,0,21,0,0,0,0,0,0,1
PE,CAMARAGIBE,48894,25897,0,792,119,2665,2024,2,643,220,14742,494,157,0,701,160,0,1,0,0,22,255
PE,CAMOCIM DE SAO FELIX,4178,1903,0,173,2,334,63,0,5,64,1361,193,16,0,41,4,0,0,0,0,1,18
PE,CAMUTANGA,2193,651,0,108,4,108,37,0,5,2,987,113,25,0,106,44,0,0,0,0,0,3
PE,CANHOTINHO,5887,2143,0,233,4,439,53,0,12,103,2514,235,32,0,52,49,0,0,0,0,2,16
PE,CAPOEIRAS,4188,1553,0,287,7,414,52,0,1,70,1648,71,32,0,18,30,0,0,0,0,0,5
PE,CARNAIBA,5397,1392,0,149,14,527,51,0,70,72,2916,85,29,0,63,14,0,0,0,0,1,14
PE,CARNAUBEIRA DA PENHA,1757,404,0,46,0,177,24,0,8,20,1038,20,7,0,5,1,0,1,0,0,0,6
PE,CARPINA,32857,12564,0,1021,203,1918,1266,3,1571,153,11576,1471,184,0,488,244,0,0,0,0,9,186
PE,CARUARU,181547,75712,0,5225,772,10810,4263,8,859,924,61147,15109,780,1,3093,1166,3,3,0,12,46,1614
PE,CASINHAS,3493,826,0,95,0,126,29,0,36,149,2099,97,22,0,11,2,0,0,0,0,0,1
PE,CATENDE,8447,3058,0,205,36,381,149,0,131,92,3450,618,86,0,176,43,0,0,0,0,1,21
PE,CEDRO,2647,765,0,40,2,160,12,0,8,6,1493,113,14,0,20,4,0,0,0,0,2,8
PE,CHA DE ALEGRIA,2267,893,0,55,3,121,49,0,53,38,930,51,44,0,26,1,0,0,0,0,0,3
PE,CHA GRANDE,6824,2469,0,339,17,668,95,0,56,72,2632,331,44,0,48,28,0,0,0,0,1,24
PE,CONDADO,7213,2468,0,145,53,292,178,1,309,35,2875,578,68,0,114,89,0,0,0,0,2,6
PE,CORRENTES,3065,776,0,81,2,179,14,0,1,56,1778,129,16,0,16,12,0,1,0,0,1,3
PE,CORTES,2131,846,0,184,2,140,25,0,7,54,684,35,40,0,93,14,0,0,0,0,1,6
PE,CUMARU,3969,1106,0,198,5,281,63,0,14,116,2022,103,18,0,32,7,0,0,0,0,0,4
PE,CUPIRA,9369,3470,0,316,22,664,195,0,46,107,3319,898,25,0,245,27,0,0,0,0,1,34
PE,CUSTODIA,12080,4169,0,430,29,1016,123,0,116,123,5276,528,44,0,118,45,0,0,0,0,15,48
PE,DORMENTES,5321,1088,0,341,30,365,22,0,12,27,3104,186,45,0,44,51,0,0,0,0,1,5
PE,ESCADA,18560,7129,0,395,124,740,377,2,217,88,7671,1094,174,0,315,157,0,0,0,1,6,70
PE,EXU,9042,2540,0,318,16,847,84,0,6,15,4802,241,41,0,91,16,0,3,0,0,1,21
PE,FEIRA NOVA,6795,1753,0,290,49,372,221,0,353,70,3243,281,28,0,70,48,0,0,0,0,1,16
PE,FERNANDO DE NORONHA,1381,493,0,12,2,124,47,0,57,24,393,111,10,0,48,2,1,0,0,0,8,49
